개방자치단체코드,관리번호,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,냉동냉장창고동수,냉동냉장창고면적,데이터갱신시점,도로명주소,법인여부명,보관요율,보관장소면적,상세영업상태명,상세영업상태코드,시설/장비현황,업태보관및창고업,업태운송및택배업,업태제조업,업태판매업,영업상태코드,일반창고동수,일반창고면적,전화번호,좌표정보(X),좌표정보(Y),지번주소,직원수,최종수정시점
3420000,2013342009832500004,2013-03-11,영업/정상,,,,,701-320,,한국농수산식품유통공사,I,2,6634,2025-12-15 16:15:28,대구광역시 동구 안심로102길 9 (괴전동),법인,,0,영업중,01,"지게차, 철재파랫트",1,1,,1,01,0,0,0539638942,,,대구광역시 동구 괴전동 258번지,2,2024-09-20 16:20:04
3420000,2015342015032525800,2015-02-02,영업/정상,,,,,,41024,롯데글로벌로지스(주),I,0,0,2025-12-15 16:15:28,대구광역시 동구 팔공로53길 96 (봉무동),법인,0,0,영업중,01,"컨베이어벨트, 지게차 등",1,,,,01,1,4380,0533510777,,,대구광역시 동구 봉무동 1547,40,2024-06-27 10:26:09
3420000,2020342018032500001,2020-09-09,영업/정상,,,,,,41028,(주)대원지에스아이,I,0,0,2025-12-15 16:15:28,대구광역시 동구 팔공로53길 114 (봉무동),법인,,0,영업중,01,"컨베이어벨트, 지게차 등",1,,,,01,2,3881.32,0549792202,347444.554528153    ,269994.191654881    ,대구광역시 동구 봉무동 1563-2,10,2024-10-14 18:01:09
3420000,2023342018032500001,2023-02-21,영업/정상,,,,,,41065,아이씨로지스,I,0,0,2025-12-15 16:15:28,대구광역시 동구 혁신대로 85 (율암동),개인,20,0,영업중,01,"조립식 앵글 20대, 지게차 2대, 이동식 보관함 80대 등",1,,,,01,1,2790.08,07047892000,,,대구광역시 동구 율암동 1151,5,2025-09-11 10:09:14
3420000,2025342018032500001,2025-07-22,영업/정상,,,,,,41069,틸리언(tillion),I,0,0,2025-12-15 16:15:28,"대구광역시 동구 첨단로8길 8, 302호 (신서동)",개인,,0,영업중,01,보관선반,1,,,,01,1,166.52,,,,대구광역시 동구 신서동 1148,5,2025-08-05 12:53:15
3420000,2013342009832500001,2013-03-11,영업/정상,,,,,701-835,,씨제이대한통운(주),I,0,0,2025-12-15 16:15:28,대구광역시 동구 금호강변로 57 (용계동),법인,5000,0,영업중,01,"E/L, 컨베어",1,1,,,01,2,4984.98,0532113849,,,대구광역시 동구 용계동 854번지,10,2025-06-30 13:42:23
3420000,2013342009832500002,2013-03-11,영업/정상,,,,,,41065,롯데글로벌로지스(주),I,0,0,2025-12-15 16:15:28,대구광역시 동구 혁신대로 85 (율암동),법인,5000,0,영업중,01,"컨베어, 지게차",1,1,,,01,2,11567.78,0533813355,,,대구광역시 동구 율암동 1151,60,2024-06-11 19:17:51
3420000,2013342009832500003,2013-03-11,영업/정상,,,,,701-170,,(주)코리아대동,I,0,0,2025-12-15 16:15:28,대구광역시 동구 팔공로45길 11 (봉무동),법인,,0,영업중,01,"랙, 지게차",1,1,1,,01,1,1909,0539652320,,,대구광역시 동구 봉무동 1566번지,25,2025-06-30 13:45:50
3430000,2012343005332500006,2013-03-11,폐업,2022-11-22,,,,703-830,,풍국산업주식회사,I,0,0,2025-12-15 16:15:28,대구광역시 서구 와룡로90길 64 (이현동),법인,,0,폐업,03,,,,,,03,1,2975.22,0535565001,339497.560081815    ,264475.542939719    ,대구광역시 서구 이현동 44번지 34호,,2022-11-22 14:51:42
3430000,2012343005332500005,2013-03-11,폐업,2018-06-29,,,,703-830,,(주)동부택배,I,0,0,2025-12-15 16:15:28,대구광역시 서구 국채보상로 5 (이현동),법인,3030,0,폐업,03,"지게차, 일반철구조",1,,,,03,1,1180.8,0537538843,338320.441560511    ,264380.823560052    ,대구광역시 서구 이현동 45번지 6호,10,2018-08-08 14:33:41
