개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세업무구분명,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,최종수정시점
3000000,300000004820180001,2018-04-27,,폐업,2022-09-30,,,,0,,03100,퍼플캣,I,000,2026-01-13 18:17:32,"서울특별시 종로구 율곡로 ***, *층 (이화동)",,폐업,0002,03,,200255.003244395    ,452667.264893433    ,서울특별시 종로구 이화동 ***-* *층 ,2022-12-29 17:01:40
3000000,300000004820180008,2018-09-12,,폐업,2023-03-20,,,,0,,03007,월드펫동물병원,I,000,2026-01-13 18:17:32,서울특별시 종로구 진흥로 ***-* (신영동),,폐업,0002,03,023797575,196470.449471829    ,455970.888515918    ,서울특별시 종로구 신영동 *-** ,2023-03-20 17:38:15
3000000,300000004820180021,2018-12-27,,폐업,2018-12-27,,,,0,,03092,몽샵,I,000,2026-01-13 18:17:32,"서울특별시 종로구 낙산길 ***, *단지 상가동 *층 *호 (창신동, 창신쌍용아파트 *지구)",,폐업,0002,03,027430050,,,서울특별시 종로구 창신동 *** 창신쌍용아파트 *지구 ,2022-04-28 18:11:02
3000000,300000004820220001,2018-10-04,,폐업,2022-02-16,,,,,,03169,누리봄동물병원,I,000,2026-01-13 18:17:32,서울특별시 종로구 사직로**길 *(내자동),,폐업,0002,03,,197374.347630839    ,452611.452584222    ,서울특별시 종로구 내자동 ***-* ,2022-04-28 18:11:02
3000000,300000004820180017,2018-10-18,,취소/말소/만료/정지/중지,2023-06-14,,,,0,,03126,미션코리아,I,000,2026-01-13 18:17:32,"서울특별시 종로구 대학로 **, *층 (효제동)",,말소,0004,04,,200126.766304313    ,452265.173517838    ,서울특별시 종로구 효제동 ***-* ,2023-06-14 09:45:20
3000000,300000004820240001,2024-09-09,,영업/정상,,,,,0,,03004,댕구르르,I,000,2026-01-13 18:17:32,"서울특별시 종로구 평창**길 **, *층 (평창동)",,정상,0000,01,,197544.299956553    ,456737.393914215    ,서울특별시 종로구 평창동 ***-* ,2024-09-09 13:18:09
3000000,300000004820180005,2018-08-30,,영업/정상,,,,,0,,03021,북악동물병원,I,000,2026-01-13 18:17:32,서울특별시 종로구 자하문로 *** (홍지동),,정상,0000,01,023914575,196420.140799836    ,455175.041431888    ,서울특별시 종로구 홍지동 ***-* ,2022-04-28 18:11:01
3000000,300000004820180010,2018-09-18,,영업/정상,,,,,0,,03165,경희궁바른동물병원,I,000,2026-01-13 18:17:32,"서울특별시 종로구 송월길 **, ****호 (홍파동, 경희궁자이 *단지)",,정상,0000,01,027359088,,,서울특별시 종로구 홍파동 **-** 경희궁자이 *단지 ,2022-04-28 18:11:01
3000000,300000004820200002,2020-09-04,,영업/정상,,,,,0,,03086,강아지대학로,I,000,2026-01-13 18:17:32,"서울특별시 종로구 대학로**길 **, 한양빌딩 지하동 *층 (동숭동)",,정상,0000,01,,200257.638078403    ,453091.418604655    ,서울특별시 종로구 동숭동 *-*** 한양빌딩 ,2024-05-29 11:19:50
3000000,300000004820230001,2023-02-28,,영업/정상,,,,,0,,03022,펫힐링센터,I,000,2026-01-13 18:17:32,"서울특별시 종로구 자하문로 ***, *층 (부암동)",,정상,0000,01,,196704.157334101    ,454565.599291282    ,서울특별시 종로구 부암동 ***-** ,2023-02-28 12:46:27
