개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,업태구분명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,축산물가공업구분명,축산업무구분명,축산일련번호,최종수정시점
3420000,342000000219990001,1999-10-09,,폐업,2016-10-11,,,,15418,701-400,,대구신기종계장,종계업,I,000,2025-12-15 16:15:28,,폐업,0002,03,0539825551,353497.329668178    ,274699.936518695    ,대구광역시 동구 백안동 **-* ,종계업,종축업,1,2016-10-11 14:58:30
3480000,348000000220100001,2010-06-21,,폐업,2018-07-18,,,,0,711-891,,정원농장,종돈업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,대구광역시 달성군 구지면 창리 ***-* ,종돈업,종축업,323,2018-07-18 12:58:40
3530000,353000000219850001,1985-05-01,,폐업,2007-03-08,,,,5030,405-300,,문경농장,종돈업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,176611.986961793    ,434289.155402351    ,인천광역시 남동구 논현동 **-* ,종돈업,종축업,24,2007-03-09 09:55:15
3560000,356000000220040001,2004-04-07,,폐업,2014-12-02,,,,0,404-270,,(주)상원축산,종돈업,I,L00,2025-12-15 16:15:28,,폐업,0002,03,,,,인천광역시 서구 불노동 ***-** ,종돈업,종축업,1,2014-12-02 17:50:43
3570000,357000000220180001,2018-08-21,,영업/정상,,,,,,,,대산종계,종계업,I,000,2025-12-15 16:15:28,,정상,0000,01,,147403.113479904    ,455863.539258412    ,인천광역시 강화군 화도면 여차리 ***-* ,종계업,종축업,854,2021-08-04 10:13:20
3570000,357000000220010001,2001-10-10,,폐업,2004-05-14,,,,0,417-850,,피그플러스,종돈업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,인천광역시 강화군 화도면 내리 **** ,종돈업,종축업,1,2004-05-14 14:03:06
3570000,357000000220230001,2023-03-07,,영업/정상,,,,,,,23061,농업회사법인(주)큰뫼농산,종계업,I,L00,2025-12-15 16:15:28,인천광역시 강화군 화도면 해안남로 ****,정상,0000,01,,,,인천광역시 강화군 화도면 여차리 *** ,종계업,종축업,902,2023-03-13 15:44:58
3570000,357000000220250001,2025-04-07,,영업/정상,,,,,,,23062,대산농장2,종계업,I,000,2025-12-15 16:15:28,인천광역시 강화군 화도면 해안남로****번길 **,정상,0000,01,,148145.912812389    ,456593.044100715    ,인천광역시 강화군 화도면 흥왕리 ***-* ,종계업,종축업,912,2025-04-07 15:24:39
3570000,357000000220040001,2004-08-31,,영업/정상,,,,,0,,23061,대산농장,종계업,I,000,2025-12-15 16:15:28,인천광역시 강화군 화도면 해안남로 ****,정상,0000,01,0329373045,,,"인천광역시 강화군 화도면 여차리 *** , ***-*, ***-*, ***-* ",종계업,종축업,2,2025-04-07 13:28:46
3630000,363000000220040001,2004-06-25,,폐업,2011-04-07,,,,0,506-508,,전남축산기술연구소축산시험장,종돈업,I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,광주광역시 광산구 동산동 ** ,종돈업,종축업,1,2011-04-07 11:04:34
3910000,391000000220250001,2025-08-25,,영업/정상,,,,,,,18000,로즈팜,종돈업,I,000,2025-12-15 16:15:28,경기도 평택시 팽성읍 신호*길 **-***,정상,0000,01,,205102.897474978    ,387677.242521802    ,"경기도 평택시 팽성읍 신호리 ***-* ,-* ",종돈업,종축업,1328,2025-08-25 09:40:48
3910000,391000000220170001,2017-11-14,,영업/정상,,,,,,,17819,안화리 육성장,종계업,I,L00,2025-12-15 16:15:28,경기도 평택시 오성면 서동대로 ****,정상,0000,01,,199248.304524816    ,390084.684565286    ,경기도 평택시 오성면 안화리 ***-* ,종계업,종축업,1191,2023-03-27 16:37:40
3910000,391000000220150001,2015-05-22,,영업/정상,,,,,,,17796,이레농장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 청북읍 한산길 ***-**,정상,0000,01,,,,"경기도 평택시 청북읍 한산리 ** , ** ",종계업,종축업,1131,2023-07-10 10:30:21
3910000,391000000220130002,2013-11-29,,영업/정상,,,,,,451-851,,서탄회화농장,종계업,I,L00,2025-12-15 16:15:28,경기도 평택시 서탄면 정문회화로 ***-**,정상,0000,01,,200524.102186562    ,399269.564962648    ,경기도 평택시 서탄면 회화리 ***-* ,종계업,종축업,1043,2022-04-25 13:06:24
3910000,391000000220130001,2013-11-20,,영업/정상,,,,,,,17996,경북종돈,종돈업,I,000,2025-12-15 16:15:28,경기도 평택시 팽성읍 대사로 ***-**,정상,0000,01,,205802.758802054    ,383190.40574689     ,"경기도 평택시 팽성읍 남산리 ***-* 외 *필지(-*,-*,-*,-**,-**,-**) ",종돈업,종축업,1036,2019-01-22 13:51:30
3910000,391000000220060001,2006-03-24,,영업/정상,,,,,0,451-861,,가곡농장,종계업,I,000,2025-12-15 16:15:28,경기도 평택시 진위면 동부대로 **-**,정상,0000,01,,206965.167610119    ,400882.32305192     ,경기도 평택시 진위면 가곡리 ***-* ,종계업,종축업,739,2019-01-22 12:43:23
3910000,391000000219910001,1988-05-28,,영업/정상,,,,,8572,,17818,평택농장,종계업,I,L00,2025-12-15 16:15:28,경기도 평택시 오성면 양교*길 ***,정상,0000,01,,196904.835283677    ,391673.615322796    ,"경기도 평택시 오성면 양교리 ***-* ,***-*, ,***-*, ***, ***-*, ***-* ",종계업,종축업,14,2025-08-12 14:15:48
