개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,권리주체일련번호,데이터갱신시점,도로명주소,상세영업상태명,상세영업상태코드,영업상태코드,전화번호,좌표정보(X),좌표정보(Y),지번주소,총직원수,축산업무구분명,축산일련번호,최종수정시점
6260000,626000000519810001,1981-05-13,,폐업,2012-03-16,2011-07-27,2012-01-26,,11924,617-819,,동원산업(주),I,L00,2025-12-15 16:15:28,부산광역시 사상구 사상로577번길 33 (모라동),폐업,0002,03,0513044477,381047.864095356    ,190295.019139783    ,부산광역시 사상구 모라동  270번지 3호 ,178,도축업,,2012-03-20 09:11:20
6270000,627000000520010001,2001-06-01,,폐업,2024-04-02,,,,9330.38,702-030,,신흥산업(주),I,L00,2025-12-15 16:15:28,대구광역시 북구 검단북로11길 11 (검단동),폐업,0002,03,0533802108,345282.157721122    ,269562.06849397     ,대구광역시 북구 검단동  1393번지 167호 ,98,도축업,,2024-04-02 11:43:27
6270000,627000000519830001,1983-10-18,,영업/정상,,,,,2792.78,703-090,,풀토래(주),I,L00,2025-12-15 16:15:28,대구광역시 서구 와룡로73길 50 (중리동),정상,0000,01,0535555077,,,대구광역시 서구 중리동  1024번지 ,0,도축업,,2024-01-30 18:09:32
6270000,627000000520010002,2001-07-02,,영업/정상,,,,,9234.27,716-803,,주식회사 민속엘피씨,I,L00,2025-12-15 16:15:28,대구광역시 군위군 군위읍 경북대로 4052,정상,0000,01,0543803300,,,대구광역시 군위군 군위읍 오곡리 361번지 ,0,도축업,,2024-12-20 10:50:10
6270000,627000000519980001,1998-07-20,,폐업,2002-12-31,,,,,702-800,,신미식품,I,000,2025-12-15 16:15:28,대구광역시 북구 검단북로27길 97 (검단동),폐업,0002,03,,346246.469728327    ,269792.372281969    ,대구광역시 북구 검단동  1393번지 46호 ,0,도축업,,2007-04-30 11:00:39
6280000,628000000519980001,1998-05-28,,폐업,2022-10-27,,,,1938,409-913,,백령도축장,I,000,2025-12-15 16:15:28,,폐업,0002,03,0328361771,-1654.45059123681   ,499782.24028961     ,인천광역시 옹진군 백령면 진촌리 1562번지 1호 ,0,도축업,,2022-10-20 16:55:23
6280000,628000000519860001,1986-09-05,,폐업,2006-03-13,,2006-03-13,,2475.4,407-832,,우인산업(주),I,000,2025-12-15 16:15:28,,폐업,0002,03,,,,인천광역시 계양구 효성동  515-2번지 ,0,도축업,,2006-03-14 16:41:09
6280000,628000000519960001,1996-08-01,,영업/정상,,,,,8758.1,,,삼성식품(주),I,L00,2025-12-15 16:15:28,인천광역시 서구 가좌로96번길 17 (가좌동),정상,0000,01,0325782198,,,인천광역시 서구 가좌동  477번지 4호 ,149,도축업,,2024-10-24 17:16:00
6280000,628000000519910001,1991-03-22,,영업/정상,,,,,3709,404-812,,인천식품(주),I,L00,2025-12-15 16:15:28,인천광역시 서구 중봉대로 154 (가좌동),정상,0000,01,0325787711,168859.606314023    ,443480.11451419     ,인천광역시 서구 가좌동  602번지 23호 ,0,도축업,,2022-04-22 17:48:25
6290000,629000000519760001,1976-06-16,,휴업,,2026-01-01,2026-12-31,,2102.8,500-888,,(주)유신에프앤비,I,L00,2025-12-31 02:40:00,광주광역시 북구 하서로 196-6 (양산동),휴업,0001,02,0625718828,188797.291934269    ,188150.936135168    ,광주광역시 북구 양산동  410번지 7호 ,0,도축업,,2025-12-29 15:18:13
6290000,629000000519750001,1975-09-05,,영업/정상,,,,,5425.3,500-888,,삼호축산(주),I,000,2025-12-26 02:40:00,광주광역시 북구 하서로176번길 32 (양산동),정상,0000,01,0625718111,188889.659923112    ,188324.443731469    ,광주광역시 북구 양산동  409번지 5호 ,0,도축업,,2025-12-24 13:08:15
6290000,629000000519750002,1975-12-08,,영업/정상,,,,,1990,506-110,,삼국산업,I,000,2025-12-15 16:15:28,광주광역시 광산구 어등대로 539-11 (운수동),정상,0000,01,0629413939,180080.480581853    ,183892.174442885    ,광주광역시 광산구 운수동  50번지 2호 ,0,도축업,,2024-08-06 18:09:50
6300000,630000000519800001,1980-08-02,,영업/정상,,,,,4093.71,306-817,,(주)장원식품,I,L00,2025-12-15 16:15:28,대전광역시 대덕구 한밭대로1003번길 161-67 (오정동),정상,0000,01,0426280901,236255.241964123    ,317692.804191567    ,대전광역시 대덕구 오정동  705번지 64호 ,48,도축업,,2021-12-10 16:12:48
6310000,631000000519940001,2019-04-05,,영업/정상,,,,,3344.32,689-807,,(주)한축산업,I,000,2025-12-15 16:15:28,울산광역시 울주군 언양읍 반구대로 1204-15,정상,0000,01,0522545491,393731.613236762    ,235151.899578127    ,울산광역시 울주군 언양읍 태기리 683번지 1호 ,0,도축업,,2025-10-20 18:01:26
6310000,631000000519740002,1974-08-02,,영업/정상,,,,,280367,680-180,,삼와산업(주),I,L00,2025-12-15 16:15:28,울산광역시 남구 상개로 202-28(상개동),정상,0000,01,0522686198,,,울산광역시 남구 상개동  370번지 2호 ,0,도축업,,2023-03-22 10:47:47
6410000,641000000519980004,1998-11-04,,영업/정상,,,,,9838.24,483-110,,(주)마니커 동두천지점,I,L00,2026-01-12 09:41:07,경기도 동두천시 승전로 6 (하봉암동),정상,0000,01,0318686007,,,경기도 동두천시 하봉암동  127번지 ,0,도축업,,2025-04-15 18:40:16
6410000,641000000519630001,1978-08-22,,영업/정상,,,,,7123.54,445-961,,주식회사 우경축산 (지점),I,L00,2026-01-12 09:41:07,경기도 화성시 정남면 내향로 360,정상,0000,01,0313663222,,,경기도 화성시 정남면 귀래리 209-26 외 10필지 ,0,도축업,,2025-11-11 13:27:05
6410000,641000000520160001,2016-04-29,,폐업,2022-04-04,,,,3177.68,,,(주)정다운 자연일가,I,L00,2025-12-15 16:15:28,경기도 파주시 법원읍 자운서원로 410-6,폐업,0002,03,0315337731,186412.818311172    ,484673.643917003    ,경기도 파주시 법원읍 동문리 619번지 23호 ,324,도축업,,2022-04-04 17:28:24
